ego_x,ego_y,ego_heading,lead_x,lead_y,lead_heading
-66.47536598938832,-104.75756250551869,-0.2248751445504132,-56.411220277406684,-105.57810455038144,0.004487273588625182
-68.83569202479869,-104.23522597248115,-0.2409177840081212,-56.40069038488143,-105.639137220932,0.024761618823382747
-67.81024147264478,-104.68827626082467,-0.22242994665868795,-56.46495732911801,-105.50643230673172,-0.006690016044388905
-68.95028121358965,-104.37966511683648,-0.25144728380265413,-56.4411664244962,-105.65002752149539,0.03894371541592594
-66.5470478567287,-105.41766932924385,-0.19712561352660032,-56.44301914705648,-105.62832645522994,0.04730110436197762
-66.43251374184264,-105.05699321378293,-0.2019002978275285,-57.563000954360916,-105.63555302530715,0.004583631919499364
-66.93301714372782,-104.97953458786851,-0.22253700103481242,-56.47699357761721,-105.63851827685097,0.025562432962151865
-66.41193919746219,-104.49911038985628,-0.20364899953776797,-57.15031169386142,-105.42932848769817,-0.023242652075532045
-66.45830892236292,-105.44346576774822,-0.17099064685897455,-57.124457428586375,-105.66981837193056,0.019422406814317103
-66.45820966761187,-104.36096188170755,-0.196903365366684,-56.41159438892623,-105.54389972589075,-0.000983035343170754
-67.70789341798637,-105.0054624947467,-0.179468872672535,-56.41894867274703,-105.63400238886202,0.02480884303413942
-66.3930275925243,-104.75743911112423,-0.22751182773939818,-57.04647009299724,-105.58268794335878,-0.00031102261753482296
-68.34160568790347,-103.80380187039772,-0.21131286912591016,-56.3944397563907,-105.52870866403728,-0.003733134276408195
-68.32713385318571,-103.66333732340215,-0.2282712977962636,-56.39774990501749,-105.49783253697305,-0.01153219420751994
-66.45628366525682,-105.20920520139823,-0.2168927655498938,-57.85529184602313,-105.67732013832712,0.00960090547568864
-67.27245386754292,-104.40201917655297,-0.23217489345786171,-56.4829035559,-105.4953664007529,-0.012414774766029826
-66.92291070518104,-104.15484234229073,-0.19141254095987373,-56.474093001492555,-105.51087143903754,-0.008049977958956718
-67.81235204530162,-104.19817227247545,-0.23130930486802892,-56.454248689002085,-105.61649828059818,0.016935238270035975
-66.48164191171371,-105.66548830794234,-0.18484075641680434,-57.839980739692145,-105.69599710184376,0.031498495821520936
-68.39177434384027,-103.5583575811095,-0.2545329823575864,-56.43919767310907,-105.6194080892993,0.013552674167738586
-67.29877833794659,-104.82744426997898,-0.19016075227556345,-56.468819214246366,-105.43732963570919,-0.015511792445896502
-67.41086342239565,-103.85587486219782,-0.2081749773378162,-56.48559520098354,-105.55275816918137,-0.0005064234340033141
-66.47764110639169,-104.15482731542828,-0.16178175213831547,-58.450152080574846,-104.88435215960585,-0.06208722697951952
-68.24661588662674,-104.43286134838249,-0.24537244556404883,-56.40602226514683,-105.636814429259,0.021893980014735394
-68.39451129785813,-103.74233108161309,-0.2407844139954098,-56.398637497229146,-105.58356314243665,0.003985847735377602
-67.67920869680655,-104.90800945206375,-0.184522526255362,-56.412374137472455,-105.64716183019661,0.02410558450179505
